ordem,entrevistado,startTime,endTime,duracao,fase
173,2-Missionario-X,00:11:44,00:11:47,00:00:04,Mounting
174,2-Missionario-X,00:11:47,00:11:55,00:00:07,Mapping
175,2-Missionario-X,00:11:55,00:12:08,00:00:13,Testing
176,2-Missionario-X,00:12:08,00:12:15,00:00:08,Mounting
177,2-Missionario-X,00:12:15,00:12:24,00:00:09,Mapping
178,2-Missionario-X,00:12:24,00:12:36,00:00:12,Consulting
179,2-Missionario-X,00:12:36,00:12:52,00:00:17,Testing
180,2-Missionario-X,00:12:53,00:13:00,00:00:07,Mapping
181,2-Missionario-X,00:13:00,00:13:07,00:00:07,Mounting
182,2-Missionario-X,00:13:07,00:13:15,00:00:09,Mapping
183,2-Missionario-X,00:13:15,00:13:36,00:00:21,Testing
184,2-Missionario-X,00:13:36,00:13:44,00:00:08,Mapping
185,2-Missionario-X,00:13:44,00:13:46,00:00:02,Testing
186,2-Missionario-X,00:13:46,00:13:49,00:00:03,Mounting
187,2-Missionario-X,00:13:49,00:13:51,00:00:02,Testing
188,2-Missionario-X,00:13:51,00:13:56,00:00:05,Mapping
189,2-Missionario-X,00:13:56,00:14:49,00:00:53,Testing
190,2-Missionario-X,00:14:49,00:15:08,00:00:20,Mapping
191,2-Missionario-X,00:15:08,00:15:34,00:00:26,Testing
192,2-Missionario-X,00:15:34,00:15:34,00:00:00,Testing
193,2-Missionario-Y,00:00:00,00:00:00,00:00:00,Mounting
194,2-Missionario-Y,00:00:10,00:02:05,00:01:55,Mounting
195,2-Missionario-Y,00:02:05,00:02:10,00:00:05,Testing
196,2-Missionario-Y,00:02:10,00:02:28,00:00:17,Mounting
197,2-Missionario-Y,00:02:28,00:02:59,00:00:32,Bug
198,2-Missionario-Y,00:02:34,00:02:34,00:00:00,Mounting
199,2-Missionario-Y,00:02:34,00:02:34,00:00:00,Consulting
200,2-Missionario-Y,00:02:35,00:02:35,00:00:00,Mounting
201,2-Missionario-Y,00:02:37,00:02:37,00:00:00,Mounting
202,2-Missionario-Y,00:02:38,00:02:38,00:00:00,Mounting
203,2-Missionario-Y,00:02:39,00:02:39,00:00:00,Mounting
204,2-Missionario-Y,00:02:39,00:02:39,00:00:00,Mounting
205,2-Missionario-Y,00:02:43,00:02:43,00:00:00,Mounting
206,2-Missionario-Y,00:02:44,00:02:44,00:00:00,Mounting
207,2-Missionario-Y,00:02:45,00:02:45,00:00:00,Mounting
208,2-Missionario-Y,00:02:45,00:02:45,00:00:00,Mounting
209,2-Missionario-Y,00:02:59,00:04:03,00:01:04,Mounting
210,2-Missionario-Y,00:04:03,00:04:05,00:00:02,Testing
211,2-Missionario-Y,00:04:05,00:04:20,00:00:15,Mapping
212,2-Missionario-Y,00:04:20,00:04:36,00:00:16,Testing
213,2-Missionario-Y,00:04:36,00:04:49,00:00:13,Mapping
214,2-Missionario-Y,00:04:49,00:05:09,00:00:19,Testing
215,2-Missionario-Y,00:05:09,00:05:18,00:00:10,Mapping
216,2-Missionario-Y,00:05:18,00:05:26,00:00:07,Testing
217,2-Missionario-Y,00:05:26,00:05:35,00:00:10,Mapping
218,2-Missionario-Y,00:05:35,00:05:58,00:00:22,Testing
219,2-Missionario-Y,00:05:58,00:07:32,00:01:35,Mounting
220,2-Missionario-Y,00:07:33,00:07:37,00:00:05,Testing
221,2-Missionario-Y,00:07:37,00:07:49,00:00:12,Mounting
222,2-Missionario-Y,00:07:49,00:07:58,00:00:09,Testing
223,2-Missionario-Y,00:07:58,00:08:01,00:00:03,Mapping
224,2-Missionario-Y,00:08:01,00:08:43,00:00:42,Testing
225,2-Missionario-Y,00:08:43,00:09:45,00:01:02,Mounting
226,2-Missionario-Y,00:09:45,00:09:54,00:00:10,Testing
227,2-Missionario-Y,00:09:55,00:10:01,00:00:06,Mapping
228,2-Missionario-Y,00:10:01,00:10:11,00:00:10,Testing
229,2-Missionario-Y,00:10:11,00:11:08,00:00:57,Mounting
230,2-Missionario-Y,00:11:08,00:11:30,00:00:22,Testing
231,2-Missionario-Y,00:11:30,00:11:33,00:00:03,Consulting
232,2-Missionario-Y,00:11:33,00:11:36,00:00:03,Testing
233,2-Missionario-Y,00:11:36,00:11:45,00:00:08,Consulting
234,2-Missionario-Y,00:11:45,00:11:58,00:00:13,Testing
235,2-Missionario-Y,00:11:58,00:12:17,00:00:19,Mapping
236,2-Missionario-Y,00:12:17,00:12:22,00:00:05,Testing
237,2-Missionario-Y,00:12:22,00:12:26,00:00:04,Mapping
238,2-Missionario-Y,00:12:26,00:12:31,00:00:05,Testing
239,2-Missionario-Y,00:12:31,00:12:33,00:00:02,Mapping
240,2-Missionario-Y,00:12:33,00:12:49,00:00:16,Testing
241,2-Missionario-Y,00:12:49,00:13:00,00:00:10,Mapping
242,2-Missionario-Y,00:13:00,00:13:08,00:00:08,Testing
243,2-Missionario-Y,00:13:08,00:13:15,00:00:08,Mapping
244,2-Missionario-Y,00:13:15,00:13:44,00:00:29,Testing
245,2-Missionario-Y,00:13:44,00:14:09,00:00:25,Mapping
246,2-Missionario-Y,00:14:09,00:14:40,00:00:31,Testing
247,2-Missionario-Y,00:14:40,00:14:54,00:00:14,Consulting
248,2-Missionario-Y,00:14:54,00:15:25,00:00:30,Testing
249,3-Tomas-X,00:00:00,00:01:12,00:01:12,Mounting
250,3-Tomas-X,00:01:12,00:02:25,00:01:13,Bug
251,3-Tomas-X,00:02:25,00:02:48,00:00:24,Mapping
252,3-Tomas-X,00:02:48,00:02:50,00:00:01,Testing
253,3-Tomas-X,00:02:50,00:02:53,00:00:04,Mounting
254,3-Tomas-X,00:02:53,00:03:00,00:00:07,Consulting
255,3-Tomas-X,00:03:00,00:03:09,00:00:09,Mounting
256,3-Tomas-X,00:03:09,00:03:36,00:00:27,Mapping
257,3-Tomas-X,00:03:36,00:04:07,00:00:30,Consulting
258,3-Tomas-X,00:04:07,00:04:34,00:00:27,Consulting
259,3-Tomas-X,00:04:34,00:04:41,00:00:07,Testing
260,3-Tomas-X,00:04:41,00:04:49,00:00:08,Mapping
261,3-Tomas-X,00:04:49,00:04:59,00:00:10,Mounting
262,3-Tomas-X,00:04:59,00:05:15,00:00:16,Mapping
263,3-Tomas-X,00:05:15,00:05:22,00:00:07,Testing
264,3-Tomas-X,00:05:22,00:05:47,00:00:25,Mapping
265,3-Tomas-X,00:05:47,00:06:00,00:00:12,Testing
266,3-Tomas-X,00:06:00,00:06:05,00:00:05,Mapping
267,3-Tomas-X,00:06:05,00:06:11,00:00:07,Testing
268,3-Tomas-X,00:06:11,00:06:26,00:00:14,Mounting
269,3-Tomas-X,00:06:26,00:06:39,00:00:13,Mapping
270,3-Tomas-X,00:06:39,00:06:53,00:00:14,Testing
271,3-Tomas-X,00:06:53,00:07:10,00:00:16,Mapping
272,3-Tomas-X,00:07:10,00:07:14,00:00:04,Testing
273,3-Tomas-X,00:07:14,00:08:15,00:01:01,Mapping
274,3-Tomas-X,00:08:14,00:08:26,00:00:12,Testing
275,3-Tomas-X,00:08:26,00:08:34,00:00:07,Mounting
276,3-Tomas-X,00:08:34,00:08:43,00:00:09,Mapping
277,3-Tomas-X,00:08:43,00:08:50,00:00:07,Testing
278,3-Tomas-X,00:08:50,00:08:52,00:00:02,Mapping
279,3-Tomas-X,00:08:52,00:09:05,00:00:13,Testing
280,3-Tomas-X,00:09:05,00:09:15,00:00:10,Mapping
281,3-Tomas-X,00:09:15,00:09:20,00:00:05,Testing
282,3-Tomas-X,00:09:20,00:09:54,00:00:34,Consulting
283,3-Tomas-X,00:09:54,00:10:13,00:00:19,Testing
284,3-Tomas-X,00:10:13,00:10:21,00:00:08,Mapping
285,3-Tomas-X,00:10:21,00:10:49,00:00:28,Testing
286,3-Tomas-X,00:10:49,00:10:58,00:00:10,Mounting
287,3-Tomas-X,00:10:59,00:11:22,00:00:23,Mapping
288,3-Tomas-X,00:11:22,00:11:52,00:00:30,Mounting
289,3-Tomas-X,00:11:52,00:11:58,00:00:05,Mapping
290,3-Tomas-X,00:11:58,00:12:31,00:00:33,Testing
291,3-Tomas-X,00:12:31,00:12:48,00:00:18,Mapping
292,3-Tomas-X,00:12:48,00:14:08,00:01:20,Testing
293,3-Tomas-X,00:14:08,00:14:24,00:00:16,Mounting
294,3-Tomas-X,00:14:24,00:15:13,00:00:49,Mounting
295,3-Tomas-X,00:15:13,00:15:18,00:00:04,Mapping
296,3-Tomas-X,00:15:17,00:15:26,00:00:08,Testing
297,3-Tomas-X,00:15:26,00:15:34,00:00:08,Mapping
298,3-Tomas-X,00:15:34,00:15:59,00:00:25,Testing
299,3-Tomas-X,00:15:59,00:16:04,00:00:05,Mapping
300,3-Tomas-X,00:16:04,00:16:36,00:00:32,Mounting
301,3-Tomas-X,00:16:36,00:16:38,00:00:02,Testing
302,3-Tomas-X,00:16:38,00:16:44,00:00:07,Mapping
303,3-Tomas-X,00:16:44,00:16:50,00:00:06,Testing
304,3-Tomas-X,00:16:50,00:16:57,00:00:07,Mapping
305,3-Tomas-X,00:16:57,00:17:03,00:00:06,Testing
306,3-Tomas-X,00:17:03,00:17:27,00:00:24,Bug
307,3-Tomas-X,00:17:27,00:18:11,00:00:43,Consulting
308,3-Tomas-X,00:18:11,00:18:18,00:00:07,Testing
309,3-Tomas-X,00:18:18,00:18:41,00:00:24,Mapping
310,3-Tomas-X,00:18:41,00:18:50,00:00:08,Testing
311,3-Tomas-X,00:18:50,00:19:10,00:00:20,Testing
312,3-Tomas-X,00:19:10,00:19:27,00:00:17,Mapping
313,3-Tomas-X,00:19:27,00:19:32,00:00:05,Testing
314,3-Tomas-X,00:19:32,00:19:46,00:00:14,Mapping
315,3-Tomas-X,00:19:46,00:20:08,00:00:22,Testing
316,3-Tomas-X,00:20:08,00:20:12,00:00:04,Mapping
317,3-Tomas-X,00:20:12,00:20:33,00:00:21,Testing
318,3-Tomas-X,00:20:33,00:20:53,00:00:19,Bug
319,3-Tomas-X,00:20:53,00:21:01,00:00:08,Mapping
320,3-Tomas-X,00:21:01,00:21:09,00:00:08,Testing
321,3-Tomas-X,00:21:09,00:21:20,00:00:11,Mapping
322,3-Tomas-X,00:21:20,00:21:30,00:00:11,Testing
323,3-Tomas-X,00:21:31,00:21:53,00:00:22,Mapping
324,3-Tomas-X,00:21:53,00:22:38,00:00:44,Testing
325,3-Tomas-X,00:22:38,00:22:53,00:00:15,Mapping
326,3-Tomas-X,00:22:53,00:23:11,00:00:18,Testing
327,3-Tomas-X,00:23:11,00:23:55,00:00:44,Mapping
328,3-Tomas-X,00:23:55,00:25:22,00:01:27,Testing
329,3-Tomas-Y,00:00:00,00:01:57,00:01:57,Mounting
330,3-Tomas-Y,00:01:57,00:02:19,00:00:23,Mapping
331,3-Tomas-Y,00:02:19,00:03:02,00:00:43,Mounting
332,3-Tomas-Y,00:03:02,00:03:19,00:00:17,Consulting
333,3-Tomas-Y,00:03:19,00:04:44,00:01:25,Mounting
334,3-Tomas-Y,00:04:44,00:04:47,00:00:04,Testing
335,3-Tomas-Y,00:04:47,00:05:06,00:00:18,Mapping
336,3-Tomas-Y,00:05:05,00:05:13,00:00:08,Testing
337,3-Tomas-Y,00:05:13,00:05:31,00:00:18,Mapping
338,3-Tomas-Y,00:05:31,00:05:37,00:00:06,Testing
339,3-Tomas-Y,00:05:37,00:05:54,00:00:17,Mapping
340,3-Tomas-Y,00:05:54,00:06:02,00:00:09,Testing
341,3-Tomas-Y,00:06:02,00:06:39,00:00:37,Mapping
342,3-Tomas-Y,00:06:39,00:06:46,00:00:07,Testing
343,3-Tomas-Y,00:06:46,00:06:56,00:00:10,Mapping
344,3-Tomas-Y,00:06:56,00:07:02,00:00:06,Testing
345,3-Tomas-Y,00:07:02,00:07:30,00:00:28,Mapping
346,3-Tomas-Y,00:07:30,00:07:42,00:00:12,Testing
347,3-Tomas-Y,00:07:42,00:08:00,00:00:18,Mapping
348,3-Tomas-Y,00:08:00,00:08:04,00:00:04,Testing
349,3-Tomas-Y,00:08:04,00:08:09,00:00:05,Mapping
350,3-Tomas-Y,00:08:09,00:08:25,00:00:16,Testing
351,3-Tomas-Y,00:08:25,00:08:33,00:00:08,Mapping
352,3-Tomas-Y,00:08:33,00:08:39,00:00:06,Testing
353,3-Tomas-Y,00:08:39,00:10:06,00:01:27,Mounting
354,3-Tomas-Y,00:10:06,00:10:10,00:00:04,Testing
355,3-Tomas-Y,00:10:10,00:10:36,00:00:26,Mapping
356,3-Tomas-Y,00:10:36,00:10:56,00:00:20,Testing
357,3-Tomas-Y,00:10:55,00:10:58,00:00:03,Mapping
358,3-Tomas-Y,00:10:58,00:11:22,00:00:24,Testing
359,3-Tomas-Y,00:11:22,00:11:34,00:00:12,Mapping
360,3-Tomas-Y,00:11:34,00:11:46,00:00:12,Testing
361,3-Tomas-Y,00:11:46,00:11:55,00:00:09,Mapping
362,3-Tomas-Y,00:11:55,00:12:21,00:00:26,Testing
363,3-Tomas-Y,00:12:21,00:12:32,00:00:11,Mapping
364,3-Tomas-Y,00:12:32,00:12:49,00:00:17,Testing
365,3-Tomas-Y,00:12:49,00:13:05,00:00:16,Mapping
366,3-Tomas-Y,00:13:05,00:13:08,00:00:03,Testing
367,3-Tomas-Y,00:13:08,00:13:15,00:00:07,Mapping
368,3-Tomas-Y,00:13:15,00:13:57,00:00:42,Testing
369,3-Tomas-Y,00:13:57,00:14:04,00:00:07,Mapping
370,3-Tomas-Y,00:14:04,00:14:11,00:00:07,Testing
371,3-Tomas-Y,00:14:11,00:14:21,00:00:10,Mapping
372,3-Tomas-Y,00:14:21,00:14:31,00:00:10,Testing
373,3-Tomas-Y,00:14:31,00:15:48,00:01:17,Mounting
374,3-Tomas-Y,00:15:48,00:16:02,00:00:14,Mapping
375,3-Tomas-Y,00:16:02,00:16:07,00:00:05,Testing
376,3-Tomas-Y,00:16:07,00:16:16,00:00:09,Mapping
377,3-Tomas-Y,00:16:16,00:16:33,00:00:17,Testing
378,3-Tomas-Y,00:16:34,00:16:56,00:00:23,Mapping
379,3-Tomas-Y,00:16:56,00:17:02,00:00:05,Testing
380,3-Tomas-Y,00:17:02,00:17:44,00:00:42,Consulting
381,3-Tomas-Y,00:17:44,00:17:45,00:00:02,Testing
382,3-Tomas-Y,00:17:46,00:17:53,00:00:07,Mapping
383,3-Tomas-Y,00:17:53,00:18:37,00:00:44,Testing
384,3-Tomas-Y,00:18:37,00:18:42,00:00:05,Mapping
385,3-Tomas-Y,00:18:42,00:19:11,00:00:29,Testing
386,3-Tomas-Y,00:19:11,00:19:21,00:00:10,Mapping
387,3-Tomas-Y,00:19:21,00:19:56,00:00:34,Testing
388,3-Tomas-Y,00:19:56,00:20:07,00:00:11,Mapping
389,3-Tomas-Y,00:20:07,00:20:59,00:00:52,Testing
390,3-Tomas-Y,00:20:58,00:21:17,00:00:18,Mapping
391,3-Tomas-Y,00:21:17,00:21:51,00:00:34,Testing
392,3-Tomas-Y,00:21:51,00:22:03,00:00:12,Mapping
393,3-Tomas-Y,00:22:03,00:22:33,00:00:31,Testing
394,3-Tomas-Y,00:22:33,00:22:48,00:00:14,Mapping
395,3-Tomas-Y,00:22:48,00:23:58,00:01:10,Testing
396,3-Tomas-Y,00:23:58,00:24:56,00:00:59,Mounting
397,4-Jeff-X,00:00:04,00:00:12,00:00:09,Testing
398,4-Jeff-X,00:00:12,00:00:21,00:00:09,Mounting
399,4-Jeff-X,00:00:21,00:00:26,00:00:05,Mapping
400,4-Jeff-X,00:00:26,00:00:42,00:00:16,Testing
401,4-Jeff-X,00:00:42,00:00:51,00:00:09,Mapping
402,4-Jeff-X,00:00:51,00:01:00,00:00:09,Mounting
403,4-Jeff-X,00:01:01,00:01:07,00:00:07,Mapping
404,4-Jeff-X,00:01:08,00:01:15,00:00:07,Mounting
405,4-Jeff-X,00:01:15,00:01:24,00:00:09,Mapping
406,4-Jeff-X,00:01:24,00:01:28,00:00:04,Testing
407,4-Jeff-X,00:01:29,00:01:31,00:00:02,Mounting
408,4-Jeff-X,00:01:31,00:01:39,00:00:08,Mapping
409,4-Jeff-X,00:01:39,00:01:47,00:00:09,Testing
410,4-Jeff-X,00:01:48,00:01:52,00:00:04,Mounting
411,4-Jeff-X,00:01:52,00:01:58,00:00:06,Mapping
412,4-Jeff-X,00:01:58,00:02:09,00:00:11,Testing
413,4-Jeff-X,00:02:09,00:02:15,00:00:06,Mapping
414,4-Jeff-X,00:02:16,00:02:20,00:00:05,Testing
415,4-Jeff-X,00:02:20,00:02:26,00:00:06,Mapping
416,4-Jeff-X,00:02:26,00:02:31,00:00:05,Testing
417,4-Jeff-X,00:02:31,00:02:41,00:00:11,Mapping
418,4-Jeff-X,00:02:41,00:02:49,00:00:07,Mounting
419,4-Jeff-X,00:02:49,00:02:53,00:00:04,Mapping
